sta,latitude,longitude,elevation
TURI,9.9066,-83.6862,692.2999878
UELA,10.0188,-84.2107,983.0
UPAL,10.8972,-85.0123,62.0
VINA,9.8948,-83.7464,1198.699951
VITO,8.8216,-82.9671,994.0
VORI,10.8201,-85.3465,1508.0
VPS5,10.1903,-84.232,2601.0
VPS6,10.1903,-84.232,2601.0
VPS7,10.186,-84.236,2572.0
VTUQ,10.004,-83.767,2823.0
YURE,10.0149,-85.2589,88.0
ZARE,10.1839,-84.39,1780.0
ZELE,9.3743,-83.7054,729.0
ATD,11.53,42.847,610.0
BATI,-10.206,123.6627,340.0
BR101,39.7254,33.6391,1438.0
BR101,39.7254,33.6391,1438.0
BR102,39.7355,33.6486,1511.0
BR102,39.7355,33.6486,1511.0
BR103,39.7196,33.657,1471.0
BR103,39.7196,33.657,1471.0
BR104,39.7074,33.6414,1377.0
BR104,39.7074,33.6414,1377.0
BR105,39.718,33.6173,1445.0
BR105,39.718,33.6173,1445.0
BR106,39.7338,33.618,1365.0
BR106,39.7338,33.618,1365.0
BR131,39.725,33.639,1440.0
BR131,39.725,33.639,1440.0
BR131,39.725,33.639,1440.0
BR231,39.8417,32.776,1258.0
BR231,39.8417,32.776,1258.0
CM01,18.4205,98.9588,292.4
CM01,18.420664,98.959054,295.2
CM02,18.4344,98.9466,305.3
CM02,18.434374,98.94682,310.3
CM03,18.4263,98.9762,304.3
CM03,18.426302,98.97649,307.9
CM04,18.3997,98.9789,335.8
CM04,18.39966,98.979136,349.1
CM05,18.4013,98.9451,336.0
CM05,18.401368,98.945342,340.5
CM06,18.4156,98.9406,332.0
CM06,18.415666,98.940892,336.1
CM07,18.4337,98.9304,301.7
CM07,18.433758,98.930665,307.4
CM08,18.4453,98.9577,295.1
CM08,18.445326,98.957911,303.4
CM09,18.4439,98.9908,345.1
CM09,18.443862,98.991025,350.4
CM10,18.4298,99.0019,340.8
CM10,18.429779,99.002123,344.6
CM11,18.3756,98.9604,320.4
CM11,18.375651,98.960611,324.4
CM12,18.4061,98.9254,330.2
CM12,18.406043,98.925686,334.1
CM13,18.4211,98.9069,303.3
CM13,18.421229,98.907124,324.1
CM14,18.4361,98.9136,321.7
CM14,18.436083,98.913914,360.7
CM15,18.4524,98.9245,323.5
CM15,18.45245,98.924633,326.9
CM16,18.4575,98.9429,358.0
CM16,18.457454,98.942992,311.3
CM17,18.4577,98.9624,325.0
CM17,18.45772,98.962657,328.8
CM18,18.461,98.983,314.0
CM18,18.461034,98.983248,316.3
CM31,18.4575,98.9429,306.6
CM31,18.4576,98.94315,308.3
CPUP,-26.3306,-57.3292,5.0
CPUP,-26.3307,-57.331,134.5
JAY,-2.51427,140.70325,280.0
KMBO,-1.1268,37.2523,1940.0
KS31,37.4421,127.8844,109.0
KS31,37.4421,127.8844,109.0
MK01,46.77,82.3003,609.4
MK02,46.7694,82.3086,639.0
MK03,46.7656,82.3015,630.8
MK04,46.7715,82.2951,589.9
MK05,46.7937,82.2913,615.4
MK06,46.7751,82.3133,637.7
MK07,46.7538,82.3156,627.9
MK08,46.7561,82.2866,607.6
MK09,46.7744,82.2769,579.9
MK31,46.7937,82.2904,615.4
MK32,46.7937,82.2904,615.4
PMG,-9.4092,147.1539,67.0
ROSC,4.844856,-74.321203,2987.0
TOA0,13.14771,1.6947087,214.3
TOC1,13.17209,1.7017274,233.3
TOC2,13.15683,1.7203938,221.8
TOC3,13.13697,1.7205485,214.3
TOC4,13.1216,1.699412,231.7
TOC5,13.12817,1.675087,231.5
TOC6,13.1483,1.6655435,225.6
TOC7,13.16375,1.6786998,224.6
USA0B,44.1999,131.9887,170.0
WSAR,23.239,58.6307,326.0
YKB0,62.6059,-114.605,221.6
YKB0,62.6059,-114.606,194.2
YKB1,62.4024,-114.6054,172.5
YKB1,62.4023,-114.6063,145.1
YKB2,62.4247,-114.6054,180.5
YKB2,62.4247,-114.6063,150.3
YKB3,62.4486,-114.6052,187.6
YKB3,62.4485,-114.6061,158.2
YKB4,62.4711,-114.6049,192.9
YKB4,62.4709,-114.6058,163.8
YKB6,62.5165,-114.605,202.6
YKB6,62.5164,-114.6057,173.6
YKB7,62.539,-114.6053,204.4
YKB7,62.5389,-114.6061,176.6
YKB8,62.5616,-114.6047,197.9
YKB8,62.5615,-114.6055,171.0
YKB9,62.583,-114.6039,213.0
YKB9,62.5829,-114.6047,187.1
YKR1,62.4927,-114.9456,170.0
YKR1,62.4928,-114.9445,141.1
YKR2,62.4928,-114.8964,175.0
YKR2,62.4928,-114.8959,145.0
YKR3,62.493,-114.8477,176.8
YKR3,62.4929,-114.8476,146.2
YKR4,62.4927,-114.7995,173.4
YKR4,62.4927,-114.7998,148.9
YKR5,62.4933,-114.7499,182.9
YKR5,62.4932,-114.7504,154.2
YKR6,62.4933,-114.7014,192.2
YKR6,62.4932,-114.702,161.0
YKR7,62.4934,-114.6537,198.9
YKR7,62.4932,-114.6544,167.5
YKR8,62.4932,-114.6053,196.7
YKR8,62.4931,-114.6062,166.7
YKR9,62.4931,-114.5557,201.1
YKR9,62.493,-114.5565,171.7
YKW1,62.4931,-114.5086,205.0
YKW1,62.4822,-114.4843,170.7
YKW2,62.4248,-114.6054,200.0
YKW2,62.4337,-114.6038,143.8
YKW3,62.5608,-114.6164,180.0
YKW3,62.5616,-114.6099,170.3
YKW4,62.4922,-114.7419,200.0
YKW4,62.4925,-114.7432,160.6
ZAA0,53.948063,84.818807,229.41
ZAA0B,53.948051,84.818784,229.432
ZAA1,53.952416,84.819022,246.232
ZAA2,53.943938,84.823645,207.146
ZAA3,53.947681,84.809064,242.787
ZAB1,53.963683,84.830746,245.156
ZAB2,53.948834,84.846211,253.709
ZAB3,53.936771,84.834197,233.972
ZAB4,53.937693,84.798474,199.534
ZAB4,53.937693,84.798474,199.534
ZAB5,53.956621,84.797229,195.779
AS01,-23.6647,133.9508,605.0
AS01,-23.663224,133.95199,621.5
AS02,-23.6792,133.9369,619.0
AS02,-23.677631,133.93822,636.7
AS03,-23.6744,133.9197,643.3
AS03,-23.672871,133.92126,660.2
AS04,-23.6597,133.9292,666.3
AS04,-23.658175,133.93048,683.5
AS05,-23.6492,133.9475,683.2
AS05,-23.647756,133.94893,700.1
AS06,-23.6475,133.9714,663.2
AS06,-23.646206,133.97251,681.3
AS07,-23.6656,133.9697,613.7
AS07,-23.664037,133.97114,630.2
AS08,-23.6814,133.96,594.3
AS08,-23.679935,133.96115,611.1
AS09,-23.6994,133.9414,591.2
AS09,-23.698005,133.94256,608.1
AS10,-23.6969,133.9139,607.4
AS10,-23.695526,133.91519,624.0
AS11,-23.6783,133.8978,608.3
AS11,-23.67687,133.89897,607.9
AS11,-23.67687,133.89897,616.8
AS12,-23.6664,133.9044,607.4
AS12,-23.664895,133.90573,623.7
AS13,-23.6519,133.8944,603.9
AS13,-23.65054,133.89569,620.8
AS14,-23.6517,133.9103,619.6
AS14,-23.650325,133.91164,637.3
AS15,-23.6356,133.9122,668.7
AS15,-23.634046,133.91341,685.8
AS16,-23.6369,133.93,675.8
AS16,-23.635466,133.93128,693.0
AS17,-23.6644,133.9917,614.6
AS17,-23.663127,133.99283,633.1
AS18,-23.69,133.9808,591.7
AS18,-23.68858,133.98202,607.9
AS19,-23.7044,133.9625,576.7
AS19,-23.702838,133.96378,593.5
AS31,-23.665134,133.90526,627.3
CTA,-20.0885,146.254,358.0
CTA,-20.0876,146.25,427.0
FITZ,-18.103,125.643,110.0
FITZ,-18.102,125.639,110.0
FITZ,-18.09826,125.6403,129.0
MAW,-67.6046,62.8713,12.0
NWAO,-32.9277,117.239,353.6
STKA,-31.8743,141.5964,255.0
STKA,-31.87568,141.59644,255.0
WB1,-19.9595,134.3463,421.7
WB1,-19.959444,134.34642,393.5
WB10,-19.767142,134.39283,362.1
WB2,-19.9428,134.351,425.0
WB2,-19.942753,134.35112,388.0
WB3,-19.923,134.3554,415.5
WB3,-19.92302,134.35546,384.2
WB4,-19.9035,134.3591,408.5
WB4,-19.903647,134.35893,380.6
WB5,-19.8782,134.3661,396.1
WB5,-19.878217,134.3662,370.9
WB6,-19.855,134.367,396.0
WB6,-19.854958,134.36717,364.8
WB7,-19.8408,134.3792,416.0
WB7,-19.840808,134.37946,353.2
WB8,-19.8139,134.3807,389.0
WB8,-19.813942,134.38079,356.1
WB9,-19.7914,134.3838,391.0
WB9,-19.791389,134.38397,360.0
WC1,-19.924336,134.33905,392.0
WC2,-19.925378,134.36545,375.0
WC3,-19.958742,134.37194,382.1
WC4,-19.961928,134.33973,387.5
WR1,-19.9426,134.3394,419.0
WR1,-19.942589,134.33951,388.8
WR10,-19.959661,134.54053,353.0
WR2,-19.9468,134.3622,415.0
WR2,-19.946861,134.36238,385.4
WR3,-19.9485,134.3868,401.0
WR3,-19.948503,134.38691,376.5
WR4,-19.9503,134.4065,400.0
WR4,-19.950317,134.40661,374.4
WR5,-19.9521,134.4301,395.0
WR5,-19.952172,134.43037,364.2
WR6,-19.9543,134.4538,382.0
WR6,-19.954228,134.45305,356.5
WR7,-19.9552,134.4759,382.0
WR7,-19.955192,134.47602,354.8
WR8,-19.9557,134.5002,400.0
WR8,-19.955794,134.50051,367.1
WR9,-19.9577,134.5148,383.0
WR9,-19.957653,134.51492,360.2
