sta,latitude,longitude,elevation
EIL,29.669901,34.951199,210.0
EIL,29.669901,34.951199,210.0
FAKI,-2.91925,132.248886,136.0
GSI,1.3039,97.5755,107.0
HMDM,6.77314,73.182159,1.0
JAGI,-8.4702,114.1521,171.0
KAAM,0.49264,72.994858,1.0
KBU,34.515099,69.134697,1820.0
LHMI,5.2288,96.947197,3.0
LUWI,-1.0418,122.771698,6.0
MMRI,-8.6357,122.237602,137.0
MNAI,-4.3605,102.955704,154.0
PMBI,-2.927,104.772003,30.0
PMBI,-2.9024,104.699303,25.0
SAUI,-7.9826,131.298798,110.0
SMRI,-7.04915,110.440666,203.0
SNAA,-71.6707,-2.8379,846.0
SNAA,-71.6707,-2.8379,846.0
SNAA,-71.6707,-2.8379,846.0
SOCY,12.18703,53.987419,804.0
SOEI,-9.7553,124.267197,1047.0
TNTI,0.7718,127.366699,43.0
TOLI,1.1214,120.794403,86.0
UGM,-7.9125,110.5231,350.0
YOGI,-7.8166,110.294899,160.0
CPUP,-26.33066,-57.33095,132.3
DBIC,6.67016,-4.85656,125.0
LBTB,-25.0151,25.59665,1128.0
LPAZ,-16.2879,-68.13069,4817.0
PLCA,-40.73277,-70.55083,1050.0
VNDA,-77.51724,161.85282,151.0
HKPS,22.2776,114.1415,196.3
BJT,40.0183,116.1679,197.0
BJT,40.0183,116.1679,197.0
BJT,40.0183,116.1679,197.0
HIA,49.2704,119.7414,620.0
HIA,49.2704,119.7414,620.0
HIA,49.2704,119.7414,620.0
LSA,29.7031,91.127,3660.0
LSA,29.7031,91.127,3660.0
LSA,29.7031,91.127,3660.0
MDJ,44.617,129.5908,270.0
MDJ,44.617,129.5908,270.0
MDJ,44.61763,129.59341,290.0
QIZ,19.0291,109.8445,240.0
QIZ,19.0291,109.8445,240.0
QIZ,19.0291,109.8445,240.0
AAK,42.6375,74.4942,1633.1
ABPO,-19.018,47.229,1528.0
ARU,56.4302,58.5625,250.0
ARU,56.4293,58.5615,260.0
ASCN,-7.9327,-14.3601,173.0
BFO,48.3301,8.3296,589.0
BORG,64.7474,-21.3268,110.0
BRVK,53.0581,70.2828,330.0
CMLA,37.7637,-25.5243,429.0
COCO,-12.1901,96.8349,1.0
DGAR,-7.4121,72.4525,1.0
EFI,-51.6753,-58.0637,110.0
ERM,42.015,143.1572,40.0
ESK,55.3167,-3.205,242.0
FFC,54.725,-101.9783,338.0
HOPE,-54.2836,-36.4879,20.0
JTS,10.2908,-84.9525,340.0
KAPI,-5.0142,119.7517,300.0
KDAK,57.7828,-152.5835,152.0
KIV,43.9562,42.6888,1210.0
KIV,43.9553,42.6863,1054.0
KURK,50.7154,78.6202,184.0
KWAJ,8.8019,167.613,0.0
MBAR,-0.6019,30.7382,1390.0
MSEY,-4.6737,55.4792,475.0
MSVF,-17.7448,178.0528,801.1
NIL,33.6506,73.2686,629.0
NNA,-11.9875,-76.8422,575.0
OBN,55.1146,36.5674,160.0
PALK,7.2728,80.7022,460.0
PFO,33.6092,-116.4553,1280.0
PFO,33.6107,-116.4555,1280.0
RAYN,23.5225,45.5032,631.0
RPN,-27.1267,-109.3344,110.0
SHEL,-15.9588,-5.7457,537.0
SUR,-32.3797,20.8117,1770.0
TAU,-42.9099,147.3204,132.0
TLY,51.6807,103.6438,579.0
UOSS,24.9453,56.2042,284.4
WRAB,-19.9336,134.36,366.0
MNC,8.281517,73.0598,2.0
PBA,11.655733,92.743918,79.0
SHL,25.566817,91.85595,2.0
ADK,51.8823,-176.6842,130.0
ADK,51.8823,-176.6842,130.0
AFI,-13.9093,-171.7773,706.0
AFI,-13.9093,-171.7773,706.0
AFI,-13.9093,-171.7773,706.0
ANTO,39.868,32.7934,1090.0
ANTO,39.868,32.7934,1090.0
ANTO,39.868,32.7934,1090.0
BBSR,32.371299,-64.696299,30.0
BBSR,32.371299,-64.696299,30.0
BILL,68.0653,166.4531,320.0
BILL,68.0653,166.4531,320.0
BILL,68.0653,166.4531,320.0
CASY,-66.2792,110.5354,10.0
CASY,-66.2792,110.5354,10.0
CASY,-66.2792,110.5354,10.0
COLA,64.873599,-147.8616,200.0
COLA,64.873599,-147.8616,200.0
COR,44.5855,-123.3046,110.0
COR,44.5855,-123.3046,110.0
